APR.DRG.Code,APR.DRG.Description
308,HIP & FEMUR PROCEDURES FOR TRAUMA EXCEPT JOINT REPLACEMENT
309,HIP & FEMUR PROCEDURES FOR NON-TRAUMA EXCEPT JOINT REPLACEMENT
310,INTERVERTEBRAL DISC EXCISION & DECOMPRESSION
312,"SKIN GRAFT, EXCEPT HAND, FOR MUSCULOSKELETAL & CONNECTIVE TISSUE DIAGNOSES"
313,KNEE & LOWER LEG PROCEDURES EXCEPT FOOT
314,FOOT & TOE PROCEDURES
315,"SHOULDER, UPPER ARM & FOREARM PROCEDURES"
316,HAND & WRIST PROCEDURES
317,"TENDON, MUSCLE & OTHER SOFT TISSUE PROCEDURES"
320,OTHER MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE PROCEDURES
321,CERVICAL SPINAL FUSION & OTHER BACK/NECK PROC EXC DISC EXCIS/DECOMP
340,FRACTURE OF FEMUR
341,FRACTURE OF PELVIS OR DISLOCATION OF HIP
342,"FRACTURES & DISLOCATIONS EXCEPT FEMUR, PELVIS & BACK"
343,MUSCULOSKELETAL MALIGNANCY & PATHOL FRACTURE D/T MUSCSKEL MALIG
344,"OSTEOMYELITIS, SEPTIC ARTHRITIS & OTHER MUSCULOSKELETAL INFECTIONS"
346,CONNECTIVE TISSUE DISORDERS
347,"OTHER BACK & NECK DISORDERS, FRACTURES & INJURIES"
349,"MALFUNCTION, REACTION, COMPLIC OF ORTHOPEDIC DEVICE OR PROCEDURE"
351,OTHER MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE DIAGNOSES
361,SKIN GRAFT FOR SKIN & SUBCUTANEOUS TISSUE DIAGNOSES
362,MASTECTOMY PROCEDURES
363,BREAST PROCEDURES EXCEPT MASTECTOMY
364,"OTHER SKIN, SUBCUTANEOUS TISSUE & RELATED PROCEDURES"
380,SKIN ULCERS
381,MAJOR SKIN DISORDERS
382,MALIGNANT BREAST DISORDERS
383,CELLULITIS & OTHER BACTERIAL SKIN INFECTIONS
384,"CONTUSION, OPEN WOUND & OTHER TRAUMA TO SKIN & SUBCUTANEOUS TISSUE"
385,"OTHER SKIN, SUBCUTANEOUS TISSUE & BREAST DISORDERS"
401,PITUITARY & ADRENAL PROCEDURES
403,PROCEDURES FOR OBESITY
404,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES"
405,"OTHER PROCEDURES FOR ENDOCRINE, NUTRITIONAL & METABOLIC DISORDERS"
420,DIABETES
421,"MALNUTRITION, FAILURE TO THRIVE & OTHER NUTRITIONAL DISORDERS"
422,HYPOVOLEMIA & RELATED ELECTROLYTE DISORDERS
423,INBORN ERRORS OF METABOLISM
424,OTHER ENDOCRINE DISORDERS
425,ELECTROLYTE DISORDERS EXCEPT HYPOVOLEMIA RELATED
440,KIDNEY TRANSPLANT
441,MAJOR BLADDER PROCEDURES
442,KIDNEY & URINARY TRACT PROCEDURES FOR MALIGNANCY
443,KIDNEY & URINARY TRACT PROCEDURES FOR NONMALIGNANCY
444,RENAL DIALYSIS ACCESS DEVICE PROCEDURE ONLY
445,OTHER BLADDER PROCEDURES
446,URETHRAL & TRANSURETHRAL PROCEDURES
447,"OTHER KIDNEY, URINARY TRACT & RELATED PROCEDURES"
460,RENAL FAILURE
461,KIDNEY & URINARY TRACT MALIGNANCY
462,NEPHRITIS & NEPHROSIS
463,KIDNEY & URINARY TRACT INFECTIONS
465,URINARY STONES & ACQUIRED UPPER URINARY TRACT OBSTRUCTION
466,"MALFUNCTION, REACTION, COMPLIC OF GENITOURINARY DEVICE OR PROC"
468,"OTHER KIDNEY & URINARY TRACT DIAGNOSES, SIGNS & SYMPTOMS"
480,MAJOR MALE PELVIC PROCEDURES
481,PENIS PROCEDURES
482,TRANSURETHRAL PROSTATECTOMY
483,TESTES & SCROTAL PROCEDURES
484,OTHER MALE REPRODUCTIVE SYSTEM & RELATED PROCEDURES
500,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM"
501,MALE REPRODUCTIVE SYSTEM DIAGNOSES EXCEPT MALIGNANCY
510,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY & OTHER RADICAL GYN PROCS"
511,UTERINE & ADNEXA PROCEDURES FOR OVARIAN & ADNEXAL MALIGNANCY
512,UTERINE & ADNEXA PROCEDURES FOR NON-OVARIAN & NON-ADNEXAL MALIG
513,UTERINE & ADNEXA PROCEDURES FOR NON-MALIGNANCY EXCEPT LEIOMYOMA
514,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES
517,DILATION & CURETTAGE FOR NON-OBSTETRIC DIAGNOSES
518,OTHER FEMALE REPRODUCTIVE SYSTEM & RELATED PROCEDURES
519,UTERINE & ADNEXA PROCEDURES FOR LEIOMYOMA
530,FEMALE REPRODUCTIVE SYSTEM MALIGNANCY
531,FEMALE REPRODUCTIVE SYSTEM INFECTIONS
532,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS
540,CESAREAN DELIVERY
541,VAGINAL DELIVERY W STERILIZATION &/OR D&C
542,VAGINAL DELIVERY W COMPLICATING PROCEDURES EXC STERILIZATION &/OR D&C
544,"D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY FOR OBSTETRIC DIAGNOSES"
545,ECTOPIC PREGNANCY PROCEDURE
546,OTHER O.R. PROC FOR OBSTETRIC DIAGNOSES EXCEPT DELIVERY DIAGNOSES
560,VAGINAL DELIVERY
561,POSTPARTUM & POST ABORTION DIAGNOSES W/O PROCEDURE
563,PRETERM LABOR
564,"ABORTION W/O D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"
565,FALSE LABOR
566,OTHER ANTEPARTUM DIAGNOSES
580,"NEONATE, TRANSFERRED <5 DAYS OLD, NOT BORN HERE"
581,"NEONATE, TRANSFERRED < 5 DAYS OLD, BORN HERE"
583,NEONATE W ECMO
588,NEONATE BWT <1500G W MAJOR PROCEDURE
589,NEONATE BWT <500G
591,NEONATE BIRTHWT 500-749G W/O MAJOR PROCEDURE
593,NEONATE BIRTHWT 750-999G W/O MAJOR PROCEDURE
602,NEONATE BWT 1000-1249G W RESP DIST SYND/OTH MAJ RESP OR MAJ ANOM
603,NEONATE BIRTHWT 1000-1249G W OR W/O OTHER SIGNIFICANT CONDITION
607,NEONATE BWT 1250-1499G W RESP DIST SYND/OTH MAJ RESP OR MAJ ANOM
608,NEONATE BWT 1250-1499G W OR W/O OTHER SIGNIFICANT CONDITION
609,NEONATE BWT 1500-2499G W MAJOR PROCEDURE
611,NEONATE BIRTHWT 1500-1999G W MAJOR ANOMALY
612,NEONATE BWT 1500-1999G W RESP DIST SYND/OTH MAJ RESP COND
613,NEONATE BIRTHWT 1500-1999G W CONGENITAL/PERINATAL INFECTION
614,NEONATE BWT 1500-1999G W OR W/O OTHER SIGNIFICANT CONDITION
621,NEONATE BWT 2000-2499G W MAJOR ANOMALY
622,NEONATE BWT 2000-2499G W RESP DIST SYND/OTH MAJ RESP COND
623,NEONATE BWT 2000-2499G W CONGENITAL/PERINATAL INFECTION
625,NEONATE BWT 2000-2499G W OTHER SIGNIFICANT CONDITION
626,"NEONATE BWT 2000-2499G, NORMAL NEWBORN OR NEONATE W OTHER PROBLEM"
630,NEONATE BIRTHWT >2499G W MAJOR CARDIOVASCULAR PROCEDURE
631,NEONATE BIRTHWT >2499G W OTHER MAJOR PROCEDURE
633,NEONATE BIRTHWT >2499G W MAJOR ANOMALY
634,"NEONATE, BIRTHWT >2499G W RESP DIST SYND/OTH MAJ RESP COND"
636,NEONATE BIRTHWT >2499G W CONGENITAL/PERINATAL INFECTION
639,NEONATE BIRTHWT >2499G W OTHER SIGNIFICANT CONDITION
640,"NEONATE BIRTHWT >2499G, NORMAL NEWBORN OR NEONATE W OTHER PROBLEM"
650,SPLENECTOMY
651,OTHER PROCEDURES OF BLOOD & BLOOD-FORMING ORGANS
660,MAJOR HEMATOLOGIC/IMMUNOLOGIC DIAG EXC SICKLE CELL CRISIS & COAGUL
661,COAGULATION & PLATELET DISORDERS
662,SICKLE CELL ANEMIA CRISIS
663,OTHER ANEMIA & DISORDERS OF BLOOD & BLOOD-FORMING ORGANS
680,MAJOR O.R. PROCEDURES FOR LYMPHATIC/HEMATOPOIETIC/OTHER NEOPLASMS
681,OTHER O.R. PROCEDURES FOR LYMPHATIC/HEMATOPOIETIC/OTHER NEOPLASMS
690,ACUTE LEUKEMIA
691,"LYMPHOMA, MYELOMA & NON-ACUTE LEUKEMIA"
692,RADIOTHERAPY
693,CHEMOTHERAPY
694,LYMPHATIC & OTHER MALIGNANCIES & NEOPLASMS OF UNCERTAIN BEHAVIOR
710,INFECTIOUS & PARASITIC DISEASES INCLUDING HIV W O.R. PROCEDURE
711,"POST-OP, POST-TRAUMA, OTHER DEVICE INFECTIONS W O.R. PROCEDURE"
720,SEPTICEMIA & DISSEMINATED INFECTIONS
721,"POST-OPERATIVE, POST-TRAUMATIC, OTHER DEVICE INFECTIONS"
722,FEVER
723,VIRAL ILLNESS
724,OTHER INFECTIOUS & PARASITIC DISEASES
740,MENTAL ILLNESS DIAGNOSIS W O.R. PROCEDURE
750,SCHIZOPHRENIA
751,MAJOR DEPRESSIVE DISORDERS & OTHER/UNSPECIFIED PSYCHOSES
752,DISORDERS OF PERSONALITY & IMPULSE CONTROL
753,BIPOLAR DISORDERS
754,DEPRESSION EXCEPT MAJOR DEPRESSIVE DISORDER
755,ADJUSTMENT DISORDERS & NEUROSES EXCEPT DEPRESSIVE DIAGNOSES
756,ACUTE ANXIETY & DELIRIUM STATES
757,ORGANIC MENTAL HEALTH DISTURBANCES
758,CHILDHOOD BEHAVIORAL DISORDERS
759,EATING DISORDERS
760,OTHER MENTAL HEALTH DISORDERS
770,"DRUG & ALCOHOL ABUSE OR DEPENDENCE, LEFT AGAINST MEDICAL ADVICE"
772,ALCOHOL & DRUG DEPENDENCE W REHAB OR REHAB/DETOX THERAPY
773,OPIOID ABUSE & DEPENDENCE
774,COCAINE ABUSE & DEPENDENCE
775,ALCOHOL ABUSE & DEPENDENCE
776,OTHER DRUG ABUSE & DEPENDENCE
791,O.R. PROCEDURE FOR OTHER COMPLICATIONS OF TREATMENT
811,ALLERGIC REACTIONS
812,POISONING OF MEDICINAL AGENTS
813,OTHER COMPLICATIONS OF TREATMENT
815,"OTHER INJURY, POISONING & TOXIC EFFECT DIAGNOSES"
816,TOXIC EFFECTS OF NON-MEDICINAL SUBSTANCES
841,EXTENSIVE 3RD DEGREE BURNS W SKIN GRAFT
842,FULL THICKNESS BURNS W SKIN GRAFT
843,EXTENSIVE 3RD DEGREE OR FULL THICKNESS BURNS W/O SKIN GRAFT
844,PARTIAL THICKNESS BURNS W OR W/O SKIN GRAFT
850,"PROCEDURE W DIAG OF REHAB, AFTERCARE OR OTH CONTACT W HEALTH SERVICE"
860,REHABILITATION
861,"SIGNS, SYMPTOMS & OTHER FACTORS INFLUENCING HEALTH STATUS"
862,OTHER AFTERCARE & CONVALESCENCE
863,NEONATAL AFTERCARE
890,HIV W MULTIPLE MAJOR HIV RELATED CONDITIONS
892,HIV W MAJOR HIV RELATED CONDITION
893,HIV W MULTIPLE SIGNIFICANT HIV RELATED CONDITIONS
894,HIV W ONE SIGNIF HIV COND OR W/O SIGNIF RELATED COND
910,CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA
911,EXTENSIVE ABDOMINAL/THORACIC PROCEDURES FOR MULT SIGNIFICANT TRAUMA
912,MUSCULOSKELETAL & OTHER PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA
930,MULTIPLE SIGNIFICANT TRAUMA W/O O.R. PROCEDURE
950,EXTENSIVE PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
951,MODERATELY EXTENSIVE PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
952,NONEXTENSIVE PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
955,PRINCIPAL DIAGNOSIS INVALID AS DISCHARGE DIAGNOSIS
956,UNGROUPABLE
